t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,-2.965336309834754047e-14,-6.129818874711645391e-15,1.332475796367305034e-14,-3.684830218730894305e-14
1.000000000000000000e+02,2.293970191571634287e-01,7.203746421231856101e-02,6.880463043877380058e-02,8.855492450607105326e-02
2.000000000000000000e+02,3.027792333710648265e-01,8.826143025472522885e-02,8.461905694448171311e-02,1.298987461718578429e-01
3.000000000000000000e+02,3.594307960859218776e-01,1.005048568587452590e-01,9.873984412763114893e-02,1.601860950995454280e-01
4.000000000000000000e+02,3.612494853032655051e-01,1.007110281813805297e-01,9.926741266653411888e-02,1.612710444553508149e-01
5.000000000000000000e+02,3.578974113402024759e-01,1.005268345939557550e-01,9.585962841303495574e-02,1.615109483332117513e-01
6.000000000000000000e+02,3.448305275511136525e-01,9.758882963304817137e-02,9.110219702374840189e-02,1.561395008943171070e-01
7.000000000000000000e+02,3.495108396782435900e-01,9.885891956753492527e-02,9.472328073029175066e-02,1.559286393804168724e-01
8.000000000000000000e+02,3.695580192720463453e-01,1.047191565899103366e-01,1.015434700553413949e-01,1.632953926267945999e-01
9.000000000000000000e+02,3.949902189633607841e-01,1.116792565882808869e-01,1.077320085184425846e-01,1.755789538566372987e-01
1.000000000000000000e+03,4.155741457278729900e-01,1.176547212152250499e-01,1.110116640139541533e-01,1.869077604986938146e-01
1.100000000000000000e+03,4.172049818581552438e-01,1.159761200576685941e-01,1.100183278491202454e-01,1.912105339513664182e-01
1.200000000000000000e+03,4.127061307298638404e-01,1.139212209869043535e-01,1.074318697325914174e-01,1.913530400103680695e-01
1.300000000000000000e+03,4.018003107309263688e-01,1.116581569315169692e-01,1.045144412528380695e-01,1.856277125465713440e-01
1.400000000000000000e+03,4.011763405285876938e-01,1.107603118945410803e-01,1.060516377731623716e-01,1.843643908608842419e-01
1.500000000000000000e+03,4.086513974840638719e-01,1.121580537740064776e-01,1.088926811950708673e-01,1.876006625149865548e-01
1.600000000000000000e+03,4.251845247805356998e-01,1.162653234677986092e-01,1.129464672155053029e-01,1.959727340972317877e-01
1.700000000000000000e+03,4.352427806238773345e-01,1.181900422331050721e-01,1.119624321224543390e-01,2.050903062683179512e-01
1.800000000000000000e+03,4.345363917047818658e-01,1.185921307155162613e-01,1.092588035382798528e-01,2.066854574509857656e-01
1.900000000000000000e+03,4.335055294474867704e-01,1.164959126546454976e-01,1.096810659711772856e-01,2.073285508216639594e-01
2.000000000000000000e+03,4.316434861414877866e-01,1.162316495239213293e-01,1.090137585165638912e-01,2.063980781010025800e-01
2.100000000000000000e+03,4.301895262065921210e-01,1.153289775376940413e-01,1.105380978380322982e-01,2.043224508308657816e-01
