t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,1.343716804491634775e-14,-1.190251600983553622e-15,5.205326910247738892e-15,9.422092735652162681e-15
1.000000000000000000e+02,2.806308204144830065e-01,8.708998979813931118e-02,8.646351798503526531e-02,1.070773126313084855e-01
2.000000000000000000e+02,3.781612293832428695e-01,1.069282884550513263e-01,1.055219443632578885e-01,1.657109965649337102e-01
3.000000000000000000e+02,4.621761801826060334e-01,1.265812303985147380e-01,1.251188562007924665e-01,2.104760935832987734e-01
4.000000000000000000e+02,4.847411467573796706e-01,1.270131635664100422e-01,1.266002306695379886e-01,2.311277525214316675e-01
5.000000000000000000e+02,5.048014874083549541e-01,1.292834064480219147e-01,1.284354634275145235e-01,2.470826175328184326e-01
6.000000000000000000e+02,5.186508395212169331e-01,1.301798764149170173e-01,1.294493312141997698e-01,2.590216318921001459e-01
7.000000000000000000e+02,5.387254723953466273e-01,1.341551557010144113e-01,1.344487982839842333e-01,2.701215184103479272e-01
8.000000000000000000e+02,5.717474015187266057e-01,1.428762609213539980e-01,1.437730854001160463e-01,2.850980551972565613e-01
9.000000000000000000e+02,6.063822926431722271e-01,1.514809978598900819e-01,1.540069551602594455e-01,3.008943396230226441e-01
1.000000000000000000e+03,6.357066374464254155e-01,1.584345074827493705e-01,1.589389157256690110e-01,3.183332142380070895e-01
1.100000000000000000e+03,6.614289292806376785e-01,1.621644433221412218e-01,1.644874031224420607e-01,3.347770828360543405e-01
1.200000000000000000e+03,6.806503232579418361e-01,1.649709139162018057e-01,1.671588754926084386e-01,3.485205338491315641e-01
1.300000000000000000e+03,7.040238387176490642e-01,1.690215232889095143e-01,1.730623560312817555e-01,3.619399593974577667e-01
1.400000000000000000e+03,7.288508712728231087e-01,1.746885854332243249e-01,1.765234900813950070e-01,3.776387957582037491e-01
1.500000000000000000e+03,7.572775669001274856e-01,1.808615050227340981e-01,1.856935345084098909e-01,3.907225273689835521e-01
1.600000000000000000e+03,7.813094540272303989e-01,1.868613334721979380e-01,1.917792245011031849e-01,4.026688960539293038e-01
1.700000000000000000e+03,8.064277780302454568e-01,1.922201396490684500e-01,1.990326684573375526e-01,4.151749699238395652e-01
1.800000000000000000e+03,8.258673049849969416e-01,1.958381183869301045e-01,2.023007234891883999e-01,4.277284631088782985e-01
1.900000000000000000e+03,8.469731121110942729e-01,2.000400468921494646e-01,2.066694435255114204e-01,4.402636216934333047e-01
2.000000000000000000e+03,8.683330983495904931e-01,2.059720705004537411e-01,2.106893514375269560e-01,4.516716764116097127e-01
2.100000000000000000e+03,8.887213558974748073e-01,2.098494924187705168e-01,2.147713733091977106e-01,4.641004901695064966e-01
2.200000000000000000e+03,9.128713768995969646e-01,2.155090758366786652e-01,2.209607345885336860e-01,4.764015664743845302e-01
2.300000000000000000e+03,9.363742917288021550e-01,2.194817331191588616e-01,2.261947319048088767e-01,4.906978267048342501e-01
2.400000000000000000e+03,9.624249092577060738e-01,2.254135133535291879e-01,2.314725418104203181e-01,5.055388540937565400e-01
2.500000000000000000e+03,9.857908601959195494e-01,2.293822177121380701e-01,2.359043050549076703e-01,5.205043374288736979e-01
2.600000000000000000e+03,1.012458551717275723e+00,2.352150151375126119e-01,2.422576855600150625e-01,5.349858510197479378e-01
2.700000000000000000e+03,1.036404544993070109e+00,2.404442648510427827e-01,2.476085187045107550e-01,5.483517614375164051e-01
2.800000000000000000e+03,1.064162907268331404e+00,2.461987468035026494e-01,2.564567196889508960e-01,5.615074407758779973e-01
2.900000000000000000e+03,1.086206729870736964e+00,2.513606784608791167e-01,2.607952407559134267e-01,5.740508106539442545e-01
3.000000000000000000e+03,1.107506758819877923e+00,2.555730182910127546e-01,2.654903896383933870e-01,5.864433508904718373e-01
3.100000000000000000e+03,1.129971251435498258e+00,2.602683847107262749e-01,2.700589204498801688e-01,5.996439462748918148e-01
3.200000000000000000e+03,1.154391568077737018e+00,2.635211508020684490e-01,2.747030276472282040e-01,6.161673896284403096e-01
3.300000000000000000e+03,1.180917910869218934e+00,2.685772499168723182e-01,2.803981017512637841e-01,6.319425592010826653e-01
3.400000000000000000e+03,1.205224546984013712e+00,2.730347732885211598e-01,2.864522710886598378e-01,6.457375026068327140e-01
3.500000000000000000e+03,1.229611481342972157e+00,2.785602772784115388e-01,2.922674877241358549e-01,6.587837163404247631e-01
3.600000000000000000e+03,1.249392382304383320e+00,2.837603995888447472e-01,2.981051994424686047e-01,6.675267832730700235e-01
3.700000000000000000e+03,1.263726864200893862e+00,2.882937472408227397e-01,3.019832263745311773e-01,6.734498905855398343e-01
3.800000000000000000e+03,1.284370265049017412e+00,2.934356561689970277e-01,3.085108185588190666e-01,6.824237903212014844e-01
