t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,6.688399833976174909e-15,-7.186612416276716746e-15,-1.159072837708663491e-14,2.546574062733952815e-14
1.000000000000000000e+02,2.321402438830854620e-01,7.238749131527999481e-02,7.281307216656482395e-02,8.693968040124065710e-02
2.000000000000000000e+02,3.032122425525551890e-01,8.679289518126290237e-02,8.983459625097220402e-02,1.265847511203201103e-01
3.000000000000000000e+02,3.509369647182106755e-01,9.606161847894881256e-02,1.033816948051924367e-01,1.514936514340693985e-01
4.000000000000000000e+02,3.548484231789604815e-01,9.515975900153410272e-02,1.034528552065138440e-01,1.562358089709125764e-01
5.000000000000000000e+02,3.516318253375680936e-01,9.191910293473541660e-02,1.010348842180831819e-01,1.586778381847495090e-01
6.000000000000000000e+02,3.426100556472864156e-01,8.727322630540419734e-02,9.500557352138772060e-02,1.603312558204945115e-01
7.000000000000000000e+02,3.593269342171000469e-01,9.360649214626738657e-02,9.957462823917043182e-02,1.661458138316622146e-01
8.000000000000000000e+02,3.848146564643052381e-01,1.012587072862520393e-01,1.083602088466713020e-01,1.751957403313818828e-01
9.000000000000000000e+02,4.052260027014770172e-01,1.060411938552535960e-01,1.145958223780723095e-01,1.845889864681510839e-01
1.000000000000000000e+03,4.143501271618679205e-01,1.077358082567216185e-01,1.168749804421126692e-01,1.897393384630336466e-01
1.100000000000000000e+03,4.172750152319789629e-01,1.072447923719912211e-01,1.191526632330652397e-01,1.908775596269224883e-01
1.200000000000000000e+03,4.176853974672948278e-01,1.059696105837765606e-01,1.175848082009559870e-01,1.941309786825623218e-01
1.300000000000000000e+03,4.317721290495100117e-01,1.099337866043122169e-01,1.205341269668881166e-01,2.013042154783096505e-01
1.400000000000000000e+03,4.436330795110894343e-01,1.133114305154166307e-01,1.239687972944184258e-01,2.063528517012543639e-01
1.500000000000000000e+03,4.577985957285165552e-01,1.189320657804291831e-01,1.265419174218589404e-01,2.123246125262284179e-01
1.600000000000000000e+03,4.675960972702137286e-01,1.205803029134400461e-01,1.291019285201149835e-01,2.179138658366586989e-01
1.700000000000000000e+03,4.724331276165128490e-01,1.233943096820297736e-01,1.289413313066309907e-01,2.200974866278520570e-01
1.800000000000000000e+03,4.806139039051546824e-01,1.234057958385786913e-01,1.314752552159957344e-01,2.257328528505802845e-01
1.900000000000000000e+03,4.919746250668406429e-01,1.256699554920720496e-01,1.354924888934554983e-01,2.308121806813130950e-01
2.000000000000000000e+03,5.083947736020264507e-01,1.309332498011994694e-01,1.410721191493142790e-01,2.363894046515127023e-01
2.100000000000000000e+03,5.161629338197177841e-01,1.337414658880380913e-01,1.446358615456674879e-01,2.377856063860122049e-01
2.200000000000000000e+03,5.230077912669708340e-01,1.355071151386106343e-01,1.460328075105931656e-01,2.414678686177670619e-01
2.300000000000000000e+03,5.233796166816019335e-01,1.339325268033261240e-01,1.464565393585688380e-01,2.429905505197069715e-01
2.400000000000000000e+03,5.310688686922995227e-01,1.367006801749521550e-01,1.489812978098717655e-01,2.453868907074755745e-01
2.500000000000000000e+03,5.372931287166895498e-01,1.387771065774023316e-01,1.507064760214017196e-01,2.478095461178855818e-01
2.600000000000000000e+03,5.489018979027446843e-01,1.427148342719461449e-01,1.537257261032696776e-01,2.524613375275288063e-01
2.700000000000000000e+03,5.581893349179469777e-01,1.456551797455347685e-01,1.559437596337359955e-01,2.565903955386762969e-01
2.800000000000000000e+03,5.670362375180467707e-01,1.483830792621096406e-01,1.600983481849743428e-01,2.585548100709628150e-01
2.900000000000000000e+03,5.708886419255585487e-01,1.492549194231098941e-01,1.605456132392825419e-01,2.610881092631660572e-01
3.000000000000000000e+03,5.789907389131573323e-01,1.513076179797206433e-01,1.633353892317938316e-01,2.643477317016428296e-01
3.100000000000000000e+03,5.867534742950262228e-01,1.548483948358623796e-01,1.640672075311052081e-01,2.678378719280586351e-01
3.200000000000000000e+03,5.981414825878099695e-01,1.576175880662420148e-01,1.689231833629353530e-01,2.716007111586326017e-01
3.300000000000000000e+03,6.018482078736786534e-01,1.587946860386351133e-01,1.704571062416689320e-01,2.725964155933746080e-01
3.400000000000000000e+03,6.052064402045451708e-01,1.600552475487220794e-01,1.729031380722330091e-01,2.722480545835900267e-01
3.500000000000000000e+03,6.121879288721416845e-01,1.624462470682525583e-01,1.767751222634384722e-01,2.729665595404506817e-01
3.600000000000000000e+03,6.239242743762534182e-01,1.654110842913311397e-01,1.788245782358333369e-01,2.796886118490889972e-01
3.700000000000000000e+03,6.379060745192060011e-01,1.694832089737123015e-01,1.838365292097691173e-01,2.845863363357246101e-01
3.800000000000000000e+03,6.492708598362608718e-01,1.737001859719131680e-01,1.872525932894365808e-01,2.883180805749111508e-01
3.900000000000000000e+03,6.539183839244345764e-01,1.748645848723514029e-01,1.886802773472708861e-01,2.903735217048122874e-01
4.000000000000000000e+03,6.550322162611600385e-01,1.760501685126115434e-01,1.881279073153368508e-01,2.908541404332116720e-01
4.100000000000000000e+03,6.638931054716270541e-01,1.774374369693406672e-01,1.917594254083457295e-01,2.946962430939406019e-01
4.200000000000000000e+03,6.715364111545035763e-01,1.779693993811891917e-01,1.925260106165341545e-01,3.010410011567802302e-01
4.300000000000000000e+03,6.836244731590467305e-01,1.812954797145799879e-01,1.966526635582782068e-01,3.056763298861885358e-01
4.400000000000000000e+03,7.014036037095084941e-01,1.879045369996353299e-01,2.017814936794778968e-01,3.117175730303952674e-01
4.500000000000000000e+03,7.138724272612078092e-01,1.923879013321376785e-01,2.049396304728101637e-01,3.165448954562599115e-01
4.600000000000000000e+03,7.192682823837306394e-01,1.921008065702971002e-01,2.065546705592195553e-01,3.206128052542139839e-01
4.700000000000000000e+03,7.289380131150544617e-01,1.931944062690919561e-01,2.074367623082296885e-01,3.283068445377329003e-01
4.800000000000000000e+03,7.390334559465771003e-01,1.959785302879025193e-01,2.086156811686057932e-01,3.344392444900687877e-01
4.900000000000000000e+03,7.469497343831836833e-01,1.959108267752484589e-01,2.116429346309285364e-01,3.393959729770067435e-01
5.000000000000000000e+03,7.634634512252516103e-01,2.028659966710951446e-01,2.149467578159037218e-01,3.456506967382527717e-01
5.100000000000000000e+03,7.755917591972945058e-01,2.049615485930521286e-01,2.177073137246685608e-01,3.529228968795738441e-01
5.200000000000000000e+03,7.846732098310224002e-01,2.077376980225439929e-01,2.197957050155544267e-01,3.571398067929240083e-01
5.300000000000000000e+03,7.955843300918067351e-01,2.097243772165987841e-01,2.237904464346234801e-01,3.620695064405844432e-01
5.400000000000000000e+03,8.016999694407054289e-01,2.102021137566437992e-01,2.252822979946199067e-01,3.662155576894417508e-01
5.500000000000000000e+03,8.090464740754153006e-01,2.122804476328090106e-01,2.262134293528786644e-01,3.705525970897276533e-01
5.600000000000000000e+03,8.169919757266239646e-01,2.153593022854067007e-01,2.285276914202539200e-01,3.731049820209633161e-01
5.700000000000000000e+03,8.254054527817809017e-01,2.190235596557260078e-01,2.309018891390286488e-01,3.754800039870261896e-01
5.800000000000000000e+03,8.249461601943371969e-01,2.196526194038993240e-01,2.305067491055262929e-01,3.747867916849115799e-01
5.900000000000000000e+03,8.367999610446208436e-01,2.233415858508203677e-01,2.331121625229468641e-01,3.803462126708536117e-01
6.000000000000000000e+03,8.485054078420135593e-01,2.282159885380400099e-01,2.356258957712723812e-01,3.846635235327011126e-01
6.100000000000000000e+03,8.607497400030994505e-01,2.300234541319541859e-01,2.400551822809967317e-01,3.906711035901485607e-01
6.200000000000000000e+03,8.701261889940151706e-01,2.331181669447807414e-01,2.443669545160652157e-01,3.926410675331691857e-01
6.300000000000000000e+03,8.747539574526356221e-01,2.329108838925217084e-01,2.451374587069646560e-01,3.967056148531492576e-01
6.400000000000000000e+03,8.819873689875261658e-01,2.352654500479808009e-01,2.485685501958126709e-01,3.981533687437326385e-01
6.500000000000000000e+03,8.888614491105155668e-01,2.380738900363513211e-01,2.515247359490985768e-01,3.992628231250656690e-01
6.600000000000000000e+03,9.030635897023581160e-01,2.429978986039804112e-01,2.551804471410634712e-01,4.048852439573142337e-01
6.700000000000000000e+03,9.151495061721202084e-01,2.458239787889649752e-01,2.588836403543984255e-01,4.104418870287568910e-01
6.800000000000000000e+03,9.244628368096046156e-01,2.478249268752263368e-01,2.640246434869756853e-01,4.126132664474025935e-01
6.900000000000000000e+03,9.304163725520291361e-01,2.498848799605610238e-01,2.670272117201704098e-01,4.135042808712975915e-01
7.000000000000000000e+03,9.338218202353550934e-01,2.512166489728281382e-01,2.697575954537353993e-01,4.128475758087916114e-01
7.100000000000000000e+03,9.439785257234473148e-01,2.543878132729694985e-01,2.721662810875166150e-01,4.174244313629612568e-01
7.200000000000000000e+03,9.531488431059750299e-01,2.583042503365255982e-01,2.727533042538027863e-01,4.220912885156465899e-01
7.300000000000000000e+03,9.652107429410154982e-01,2.601499027482326865e-01,2.749906822323954225e-01,4.300701579603874447e-01
7.400000000000000000e+03,9.779484506936406696e-01,2.637764431933412590e-01,2.784327335761933031e-01,4.357392739241061075e-01
