t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,2.761818551633154913e-14,1.723413078913438186e-14,3.375771884250866606e-15,7.008282842946300661e-15
1.000000000000000000e+02,2.239139578418999355e-01,6.990114186871596025e-02,6.927082647373952740e-02,8.474198949944443393e-02
2.000000000000000000e+02,2.914307953810779672e-01,8.422495882773037290e-02,8.408986509310703572e-02,1.231159714602405586e-01
3.000000000000000000e+02,3.209827321237631037e-01,9.120495742821344010e-02,9.075353864690718919e-02,1.390242360486424744e-01
4.000000000000000000e+02,3.096252656794044045e-01,8.904996044140293943e-02,8.571901511344051650e-02,1.348562901245609902e-01
5.000000000000000000e+02,2.984699587089144623e-01,8.200001253669568502e-02,8.333069014388375106e-02,1.331392560283350401e-01
6.000000000000000000e+02,2.889720163988528379e-01,7.815804039121378166e-02,7.691027828122250221e-02,1.339036977264165817e-01
7.000000000000000000e+02,3.005648267475302116e-01,8.341113104531222566e-02,8.184089035987891780e-02,1.353128053423390820e-01
8.000000000000000000e+02,3.119694293395034457e-01,8.979668790763753461e-02,8.636466457298472288e-02,1.358080768588812159e-01
9.000000000000000000e+02,3.135438889897503856e-01,8.814870210947423068e-02,8.895048247425836607e-02,1.364447044060178305e-01
1.000000000000000000e+03,3.183095378781873319e-01,8.713336803601492986e-02,8.850899004740520049e-02,1.426671797947672016e-01
1.100000000000000000e+03,3.183039967166138018e-01,8.630360599499972696e-02,8.663910116809950268e-02,1.453612895535145721e-01
1.200000000000000000e+03,3.229345888222050487e-01,8.860661875594866288e-02,8.617858834924163602e-02,1.481493817170147498e-01
1.300000000000000000e+03,3.203754020857426665e-01,8.886383148068671689e-02,8.575966357939626694e-02,1.457519070256596827e-01
1.400000000000000000e+03,3.178817221029023310e-01,8.864427884452309725e-02,8.557816563715943403e-02,1.436592776212197720e-01
1.500000000000000000e+03,3.154682235074881547e-01,8.624344976792591710e-02,8.742400678518677526e-02,1.418007669543754901e-01
1.600000000000000000e+03,3.170721928598819739e-01,8.781535228235701207e-02,8.877743572733801103e-02,1.404794048501869785e-01
1.700000000000000000e+03,3.150024143822660605e-01,8.657287290845001870e-02,8.782203952331590902e-02,1.406075019505001467e-01
1.800000000000000000e+03,3.187713074074743913e-01,8.839244288975181552e-02,8.696208882223149805e-02,1.434167756954911055e-01
1.900000000000000000e+03,3.192798547604606685e-01,8.861377924659670502e-02,8.502901253483502453e-02,1.456370629790289528e-01
2.000000000000000000e+03,3.142511512702989007e-01,8.680148634592774193e-02,8.432980395944528196e-02,1.431198609649258768e-01
2.100000000000000000e+03,3.203363208967702214e-01,8.838872506586531452e-02,8.907642054675325716e-02,1.428711752841516913e-01
2.200000000000000000e+03,3.248663879014056510e-01,9.006919270660833365e-02,9.098903112368653123e-02,1.438081640711107723e-01
2.300000000000000000e+03,3.240273697885750481e-01,9.081435023805398132e-02,8.975521203704701911e-02,1.434578075134740616e-01
2.400000000000000000e+03,3.244544539183248921e-01,9.072905999967592616e-02,8.855607302793175317e-02,1.451693208907172128e-01
2.500000000000000000e+03,3.179292861765287692e-01,8.813655449354057536e-02,8.731502308067320972e-02,1.424777086023149841e-01
2.600000000000000000e+03,3.154387486368331883e-01,8.643252108046386994e-02,8.664284875993472079e-02,1.423633787964345698e-01
2.700000000000000000e+03,3.180087277820765612e-01,8.649911670950974352e-02,8.752147247400610119e-02,1.439881385985607443e-01
2.800000000000000000e+03,3.249904505091833484e-01,8.910946936487140757e-02,8.778120969835606635e-02,1.480997714459558745e-01
2.900000000000000000e+03,3.278008356971339188e-01,9.075702961663502377e-02,8.953322849314762633e-02,1.475105775873512270e-01
3.000000000000000000e+03,3.227533933645180819e-01,8.980278898737842352e-02,8.894909310419799042e-02,1.440015112729416680e-01
3.100000000000000000e+03,3.204527646994732581e-01,9.026397852775740194e-02,8.772233654550062876e-02,1.424664496262152691e-01
3.200000000000000000e+03,3.199999292788398009e-01,8.825931031857174591e-02,8.852086473198382544e-02,1.432197542282842018e-01
3.300000000000000000e+03,3.198651821245824811e-01,8.918242182733800150e-02,8.806129522976936796e-02,1.426214650674751394e-01
3.400000000000000000e+03,3.254199102308007463e-01,8.949084789175723587e-02,8.940597223705928909e-02,1.465230901019842213e-01
3.500000000000000000e+03,3.220131005106644517e-01,8.746008502650121086e-02,8.660265889308768616e-02,1.479503565910755269e-01
3.600000000000000000e+03,3.290410633415461472e-01,8.909465953451520259e-02,8.907808645159549787e-02,1.508683173554354329e-01
3.700000000000000000e+03,3.268842058098843095e-01,8.967189410863873889e-02,8.852355584970422742e-02,1.486887558515413710e-01
3.800000000000000000e+03,3.250743915151566577e-01,9.147356599516485998e-02,8.745864615941054132e-02,1.461421793605812702e-01
3.900000000000000000e+03,3.188250469862644598e-01,8.772463330788028701e-02,8.750237481973544007e-02,1.435980388586487744e-01
4.000000000000000000e+03,3.204148857715320431e-01,8.788206379793954415e-02,8.787042224674107560e-02,1.446623997268514095e-01
4.100000000000000000e+03,3.227006322548836570e-01,8.808519199769779262e-02,8.857753309126663310e-02,1.460379071659192451e-01
4.200000000000000000e+03,3.268282712516361599e-01,8.993459268400502693e-02,8.841949175248532689e-02,1.484741868151457644e-01
4.300000000000000000e+03,3.256116611023881502e-01,9.125243219579530496e-02,8.811460009958631268e-02,1.462446288070065603e-01
4.400000000000000000e+03,3.291979153665972602e-01,9.048341598006119646e-02,9.000521679582505763e-02,1.487092825907109783e-01
4.500000000000000000e+03,3.298233193951876085e-01,9.095071022454578880e-02,9.012548754638401161e-02,1.487471216242577943e-01
4.600000000000000000e+03,3.234295879348735858e-01,8.710349624684482484e-02,8.779142418274912818e-02,1.485346675052796328e-01
4.700000000000000000e+03,3.178554452221588611e-01,8.733801545094657670e-02,8.597533245042929262e-02,1.445420973207829918e-01
4.800000000000000000e+03,3.203388808370695728e-01,8.927780522395840912e-02,8.495052309948325497e-02,1.461105525136279226e-01
4.900000000000000000e+03,3.199648320554300818e-01,8.833712045541898539e-02,8.662304541249893353e-02,1.450046661875121767e-01
5.000000000000000000e+03,3.243062392741772326e-01,9.046316018356799493e-02,8.929676847531017869e-02,1.445463106152990451e-01
5.100000000000000000e+03,3.246135770885362759e-01,8.944430141742763796e-02,8.856899170809992561e-02,1.466002839630087262e-01
5.200000000000000000e+03,3.225776239080012098e-01,8.668317604785696906e-02,8.835975763341401279e-02,1.475346902267302140e-01
5.300000000000000000e+03,3.230288066813978287e-01,8.791430690071311282e-02,8.768040703989514462e-02,1.474340927407895574e-01
5.400000000000000000e+03,3.236290256266272647e-01,8.766498975024064610e-02,8.839910942059685250e-02,1.475649264557897800e-01
5.500000000000000000e+03,3.263259767600126815e-01,8.984863901176867729e-02,8.855350386204188795e-02,1.479238338862021163e-01
5.600000000000000000e+03,3.307886695072744798e-01,9.231072284514454940e-02,8.881593693360645414e-02,1.496620097285234485e-01
5.700000000000000000e+03,3.313304539908833446e-01,9.204021224200169271e-02,8.899381695614511090e-02,1.502964247927365271e-01
5.800000000000000000e+03,3.304242942754308521e-01,9.030398237052097987e-02,9.121651481855178045e-02,1.489037970863581195e-01
5.900000000000000000e+03,3.290883622731160529e-01,9.009812312853504590e-02,8.959083278766186154e-02,1.493994063569191455e-01
6.000000000000000000e+03,3.322160283908523470e-01,9.109990809199626505e-02,9.147052721104460826e-02,1.496455930878114737e-01
6.100000000000000000e+03,3.330130870228341644e-01,9.135113297832368751e-02,9.082256792253437516e-02,1.508393861219761156e-01
6.200000000000000000e+03,3.339530697467393283e-01,9.280921519052337532e-02,9.050814403424384258e-02,1.506357105219721104e-01
6.300000000000000000e+03,3.297230339146500766e-01,9.059319315926131488e-02,9.002440414169814165e-02,1.491054366136906340e-01
6.400000000000000000e+03,3.279466648698181608e-01,8.830632313784061993e-02,9.086313916941153590e-02,1.487772025625659911e-01
6.500000000000000000e+03,3.304885530444370279e-01,8.890298573172705776e-02,9.282809806548990295e-02,1.487574692472200255e-01
6.600000000000000000e+03,3.315680448646196599e-01,9.064203515706575898e-02,9.195821494588632405e-02,1.489677947616676046e-01
6.700000000000000000e+03,3.334536983375875341e-01,9.220228054497353609e-02,9.177124392015134635e-02,1.494801738724626794e-01
6.800000000000000000e+03,3.302547705518203980e-01,9.062422089688279558e-02,9.061620347365480221e-02,1.490143461812827863e-01
6.900000000000000000e+03,3.333811913788254366e-01,9.099868465066211776e-02,9.120525169586508885e-02,1.511772550322982300e-01
7.000000000000000000e+03,3.373326724347670558e-01,9.289939463813763620e-02,9.320096273353603578e-02,1.512323150630933422e-01
7.100000000000000000e+03,3.319403238111477972e-01,9.060897790635139004e-02,9.502160530198658361e-02,1.463097406028098235e-01
7.200000000000000000e+03,3.327268871342385914e-01,9.166561785654214756e-02,9.435447132302879347e-02,1.467067979546676226e-01
7.300000000000000000e+03,3.282854753855821150e-01,9.059972832683592381e-02,9.203066779448164370e-02,1.456550792642645475e-01
7.400000000000000000e+03,3.319199009506510478e-01,9.109382834819856889e-02,9.142641993953190549e-02,1.493996526629205734e-01
7.500000000000000000e+03,3.354283085393695574e-01,9.157498879602900266e-02,9.271186611571630154e-02,1.511414536276242671e-01
7.600000000000000000e+03,3.372786199933577311e-01,9.187623980328894768e-02,9.396320927295807868e-02,1.514391709171107048e-01
7.700000000000000000e+03,3.391279355723995081e-01,9.420445432427079768e-02,9.490814411572165432e-02,1.500153371324070839e-01
7.800000000000000000e+03,3.336573679449546526e-01,9.170115430323486083e-02,9.576243500005057752e-02,1.461937786416692142e-01
7.900000000000000000e+03,3.301478613273371443e-01,9.119940973134207929e-02,9.331207743898881080e-02,1.456363741570062542e-01
8.000000000000000000e+03,3.242360099556300668e-01,8.884094297949193808e-02,8.971955893087388278e-02,1.456755080452642181e-01
