t_fs,msd_angstrom2,msd_x,msd_y,msd_z
0.000000000000000000e+00,7.272654700685162276e-15,-1.358912982141191669e-14,-1.483466127716326418e-14,3.569644579926034314e-14
1.000000000000000000e+02,2.316352940233551705e-01,7.038890355685389899e-02,6.938062611395050261e-02,9.186576435255075501e-02
2.000000000000000000e+02,3.091111768535779181e-01,8.296849453766648452e-02,8.547810463385190072e-02,1.406645776820595051e-01
3.000000000000000000e+02,3.550491943991890276e-01,9.351357641333786497e-02,9.408500242764127053e-02,1.674506155582098921e-01
4.000000000000000000e+02,3.614279684801017245e-01,9.164348078954928645e-02,9.507523943475752748e-02,1.747092482557948967e-01
5.000000000000000000e+02,3.651693849381985046e-01,9.120901016408256012e-02,9.357339714016578436e-02,1.803869776339501740e-01
6.000000000000000000e+02,3.551735125835939755e-01,8.690582604562160918e-02,8.933363781554912175e-02,1.789340487224232723e-01
7.000000000000000000e+02,3.657199250874116347e-01,9.183725546771639991e-02,9.237055856524153952e-02,1.815121110544536953e-01
8.000000000000000000e+02,3.790276797675371512e-01,9.504618340213774608e-02,9.527221729601145772e-02,1.887092790693879751e-01
9.000000000000000000e+02,3.983031628152201020e-01,9.969641599766063123e-02,1.001705721553173556e-01,1.984361746622421152e-01
1.000000000000000000e+03,4.129232774553598384e-01,1.000124773023352426e-01,1.025368945896964201e-01,2.103739055633281618e-01
1.100000000000000000e+03,4.185687433487396136e-01,1.000943230410928086e-01,1.035035598249454958e-01,2.149708604827012814e-01
1.200000000000000000e+03,4.315561450901420071e-01,1.040936674106024695e-01,1.060358476089212354e-01,2.214266300706183022e-01
1.300000000000000000e+03,4.396026771042346182e-01,1.046590719519594759e-01,1.090431606113960450e-01,2.259004445408791251e-01
1.400000000000000000e+03,4.465537363197805143e-01,1.069328191001751305e-01,1.109420012711481301e-01,2.286789159484572398e-01
1.500000000000000000e+03,4.490556276279901726e-01,1.074458436218284907e-01,1.108604276424005608e-01,2.307493563637611211e-01
1.600000000000000000e+03,4.611016691799536549e-01,1.096987611894046089e-01,1.135724587067041408e-01,2.378304492838449191e-01
1.700000000000000000e+03,4.742322659465851298e-01,1.120910403093283436e-01,1.164214359892962597e-01,2.457197896479605403e-01
1.800000000000000000e+03,4.871557462592927545e-01,1.175504367699950620e-01,1.184894962558809411e-01,2.511158132334167514e-01
1.900000000000000000e+03,4.957266594601713594e-01,1.183500023434607140e-01,1.204029184868575519e-01,2.569737386298530657e-01
2.000000000000000000e+03,4.996918541878273556e-01,1.194321650545984159e-01,1.218292466661912432e-01,2.584304424670377243e-01
2.100000000000000000e+03,4.973727265256813745e-01,1.185249331380535259e-01,1.209431622128290529e-01,2.579046311747987819e-01
2.200000000000000000e+03,4.981817976141394433e-01,1.195543243023966945e-01,1.222415196752582867e-01,2.563859536364844760e-01
2.300000000000000000e+03,5.062657873001278341e-01,1.230009850284650569e-01,1.221549516541857311e-01,2.611098506174770462e-01
2.400000000000000000e+03,5.186162858559347777e-01,1.274654023374177658e-01,1.266589253291773576e-01,2.644919581893396821e-01
2.500000000000000000e+03,5.275996487725780337e-01,1.285214566576792505e-01,1.281485437195924448e-01,2.709296483953063661e-01
2.600000000000000000e+03,5.438194155167235255e-01,1.311293040503148100e-01,1.303764458543923421e-01,2.823136656120164290e-01
2.700000000000000000e+03,5.582372251660879803e-01,1.334710104839112454e-01,1.336908927182990647e-01,2.910753219638776423e-01
2.800000000000000000e+03,5.701478063691940434e-01,1.367323800713441950e-01,1.354341660707287232e-01,2.979812602271211253e-01
